State,District,Combined District,Supt. First Name,Supt. Last Name,Supt. ID,<- IDs will be added late Sept/early Oct
Connecticut,Windsor School District,Windsor School District,Noha,Abdel-Hady,,
Connecticut,Barkhamsted School District,Barkhamsted School District,James,Agostine,,
Connecticut,Integrated Day Charter School District,Integrated Day Charter School District,Debby,Allard,,
Connecticut,East Hartford School District,East Hartford School District,Thomas,Anderson,,
Connecticut,Groton School District,Groton School District,Susan,Austin,,
Connecticut,Bridgeport School District,Bridgeport School District,Royce,Avery,,
Connecticut,Hebron School District,Hebron School District,Tom,Baird,,
Connecticut,Unified School District #1,Unified School District #1,Veron,Beaulieu,,
Connecticut,Wallingford School District,Wallingford School District,Danielle,Bellizzi,,
Connecticut,Berlin School District,Berlin School District,Brian,Benigni,,
Connecticut,Meriden School District,Meriden School District,Mark,Benigni,,
Connecticut,Canterbury School District,Canterbury School District,Christopher,Bitgood,,
Connecticut,Glastonbury School District,Glastonbury School District,Alan,Bookman,,
Connecticut,Stratford School District,Stratford School District,Heather,Borges,,
Connecticut,Regional School District 01,Regional School District 01,Melony,Brady-Shanley,,
Connecticut,Plainfield School District,Plainfield School District,Paul,Brenton,,
Connecticut,Portland School District,Portland School District,Charles,Britton,,
Connecticut,Newington School District,Newington School District,Maureen,Brummett,,
Connecticut,Andover School District,Andover School District,Valerie,Bruneau,,
Connecticut,Granby School District,Granby School District,Cheri,Burke,,
Connecticut,Stonington School District,Stonington School District,Mary Anne,Butler,,
Connecticut,Regional School District 05,Regional School District 05,Jennifer,Byars,,
Connecticut,Bethany School District,Bethany School District,Kai,Byrd,,
Connecticut,Darien School District,Darien School District,Eric,Byrne,,
Connecticut,Hartland School District,Hartland School District,Imma,Canelli,,
Connecticut,Avon School District,Avon School District,Bridget,Carnemolla,,
Connecticut,Capital Preparatory Harbor School District,Capital Preparatory Harbor School District,Ayanna,Carter,,
Connecticut,South Windsor School District,South Windsor School District,Kate,Carter,,
Connecticut,Bolton School District,Bolton School District,David,Caruso,,
Connecticut,Bethel School District,Bethel School District,Christine,Carver,,
Connecticut,Danbury School District,Danbury School District,Kara,Casimiro,,
Connecticut,Norfolk School District,Norfolk School District,Kevin,Case,,
Connecticut,West Haven School District,West Haven School District,Neil,Cavallaro,,
Connecticut,Seymour School District,Seymour School District,Susan,Compton,,
Connecticut,Derby School District,Derby School District,Matthew,Conway,,
Connecticut,Madison School District,Madison School District,Craig,Cooke,,
Connecticut,Naugatuck School District,Naugatuck School District,Melissa,Cooney,,
Connecticut,Sherman School District,Sherman School District,Patricia,Cosentino,,
Connecticut,Thomaston School District,Thomaston School District,Francine,Coss,,
Connecticut,EdAdvance,EdAdvance,Jonathan,Costa,,
Connecticut,Regional School District 19,Regional School District 19,Sharon,Cournoyer,,
Connecticut,New Fairfield School District,New Fairfield School District,Kenneth,Craw,,
Connecticut,Connecticut Technical Education and Career System,Connecticut Technical Education and Career System,Michael,Crocco,,
Connecticut,Pomfret School District,Pomfret School District,Michael,Cummings,,
Connecticut,Simsbury School District,Simsbury School District,Matthew,Curtis,,
Connecticut,Milford School District,Milford School District,Anna,Cutaia,,
Connecticut,Achievement First Bridgeport Academy District,Achievement First Bridgeport Academy District,Amy,D’Angelo,,
Connecticut,Ridgefield School District,Ridgefield School District,Susie,Da Silva,,
Connecticut,Area Cooperative Educational Services,Area Cooperative Educational Services,Thomas,Danehy,,
Connecticut,Odyssey Community School District,Odyssey Community School District,Sally,Dastoli,,
Connecticut,Highville Charter School District,Highville Charter School District,Che,Dawson,,
Connecticut,East Haddam School District,East Haddam School District,Teresa,Debrito,,
Connecticut,Ansonia School District,Ansonia School District,Joseph,DiBacco,,
Connecticut,Capitol Region Education Council,Capitol Region Education Council,Sasha,Douglas,,
Connecticut,Old Saybrook School District,Old Saybrook School District,Chris,Drezek,,
Connecticut,Cooperative Educational Services,Cooperative Educational Services,Charles,Dumais,,
Connecticut,Suffield School District,Suffield School District,Matthew,Dunbar,,
Connecticut,The Bridge Academy District,The Bridge Academy District,Tyrone,Elliott,,
Connecticut,Learn,Learn,Kate,Ericson,,
Connecticut,Norwalk School District,Norwalk School District,Alexandra,Estrella,,
Connecticut,Plymouth School District,Plymouth School District,Brian,Falcone,,
Connecticut,Voluntown School District,Voluntown School District,Scott,Feder,,
Connecticut,Watertown School District,Watertown School District,Lisa,"Fekete,",,
Connecticut,Stamford Charter School for Excellence District,Stamford Charter School for Excellence District,Kevin,Fischer,,
Connecticut,Unified School District #2,Unified School District #2,Matt,Folan,,
Connecticut,Ashford School District,Ashford School District,Cynthia,Ford,,
Connecticut,Weston School District,Weston School District,Erica,Forti,,
Connecticut,Guilford School District,Guilford School District,Paul,Freeman,,
Connecticut,Sterling School District,Sterling School District,Theodore,Friend,,
Connecticut,Somers School District,Somers School District,Sam,Galloway,,
Connecticut,New Britain School District,New Britain School District,Tony,Gasper,,
Connecticut,Manchester School District,Manchester School District,Matt,Geary,,
Connecticut,Waterford School District,Waterford School District,Thomas,Giard,,
Connecticut,Colebrook School District,Colebrook School District,Robert,Gilbert,,
Connecticut,Windham School District,Windham School District,Iris,Gomero,,
Connecticut,Lebanon School District,Lebanon School District,Andrew,Gonzalez,,
Connecticut,Franklin School District,Franklin School District,Denise,Grant,,
Connecticut,Farmington School District,Farmington School District,Kathleen,Greider,,
Connecticut,Canton School District,Canton School District,Jordan,Grossman,,
Connecticut,Marlborough School District,Marlborough School District,Holly,Hageman,,
Connecticut,Ledyard School District,Ledyard School District,Jason,Hartling,,
Connecticut,Salem School District,Salem School District,Brian,Hendrickson,,
Connecticut,Hamden School District,Hamden School District,Gary,Highsmith,,
Connecticut,North Stonington School District,North Stonington School District,Troy,Hopkins,,
Connecticut,Sprague School District,Sprague School District,William,Hull,,
Connecticut,Union School District,Union School District,Steven,Jackopsic,,
Connecticut,Explorations District,Explorations District,Serena,Johnson,,
Connecticut,Elm City College Preparatory School District,Elm City College Preparatory School District,Jill,Johnson,,
Connecticut,Greenwich School District,Greenwich School District,Toni,Jones,,
Connecticut,Lisbon School District,Lisbon School District,Sally,Keating,,
Connecticut,Monroe School District,Monroe School District,Joseph,Kobza,,
Connecticut,Eastford School District,Eastford School District,Donna,Leake,,
Connecticut,Regional School District 13,Regional School District 13,Sydney,Leggett,,
Connecticut,Regional School District 07,Regional School District 07,Steven,LePage,,
Connecticut,Norwich School District,Norwich School District,Susan,Lessard,,
Connecticut,Winchester School District,Winchester School District,Julie,Luby,,
Connecticut,Stamford School District,Stamford School District,Tamu,Lucero,,
Connecticut,New Canaan School District,New Canaan School District,Bryan,Luizzi,,
Connecticut,Vernon School District,Vernon School District,Joseph,Macary,,
Connecticut,Cromwell School District,Cromwell School District,Enza,Macri,,
Connecticut,Southington School District,Southington School District,Steven,Madancy,,
Connecticut,Oxford School District,Oxford School District,Ralph,Marino,,
Connecticut,Westbrook School District,Westbrook School District,Kristina,Martineau,,
Connecticut,Griswold School District,Griswold School District,Sean,McKenna,,
Connecticut,Regional School District 09,Regional School District 09,Jason,McKinnon,,
Connecticut,Regional School District 08,Regional School District 08,Colin,McNamara,,
Connecticut,Goodwin University Educational Services (GUES),Goodwin University Educational Services (GUES),Salvatore,Menzo,,
Connecticut,Enfield School District,Enfield School District,Steven,Moccio,,
Connecticut,Jumoke Academy District,Jumoke Academy District,Troy,Monroe,,
Connecticut,Woodbridge School District,Woodbridge School District,Christopher,Montini,,
Connecticut,Mansfield School District,Mansfield School District,Candace,Morell,,
Connecticut,Regional School District 14,Regional School District 14,Brian,Murphy,,
Connecticut,Brookfield School District,Brookfield School District,Rich,Napoli,,
Connecticut,Killingly School District,Killingly School District,Susan,Nash-Ditzel,,
Connecticut,New Haven School District,New Haven School District,Madeline,Negrón,,
Connecticut,Regional School District 18,Regional School District 18,Ian,Neviaser,,
Connecticut,East Lyme School District,East Lyme School District,Jeffrey,Newton,,
Connecticut,Ellington School District,Ellington School District,Scott,Nicol,,
Connecticut,Side By Side Charter School District,Side By Side Charter School District,Matthew,Nittoly,,
Connecticut,Clinton School District,Clinton School District,Maryann,O'Donnell,,
Connecticut,East Granby School District,East Granby School District,Suzanne,Palmieri,,
Connecticut,Windsor Locks School District,Windsor Locks School District,Shawn,Parkhurst,,
Connecticut,New Milford School District,New Milford School District,Janet,Parlato,,
Connecticut,Coventry School District,Coventry School District,David,Petrone,,
Connecticut,Eastern Connecticut Regional Educational Service Center (EASTCONN),Eastern Connecticut Regional Educational Service Center (EASTCONN),Eric,Protulis,,
Connecticut,Park City Prep Charter School District,Park City Prep Charter School District,Bruce,Ravage,,
Connecticut,Brooklyn School District,Brooklyn School District,Michellele,Raynor,,
Connecticut,Plainville School District,Plainville School District,Brian,Reas,,
Connecticut,Putnam School District,Putnam School District,Steven,Rioux,,
Connecticut,New London School District,New London School District,Cynthia,Ritchie,,
Connecticut,Woodstock School District,Woodstock School District,Christopher,Roche,,
Connecticut,Brass City Charter School District,Brass City Charter School District,Barbara,Ruggiero,,
Connecticut,Shelton School District,Shelton School District,Kenneth,Saranich,,
Connecticut,Great Oaks Charter School District,Great Oaks Charter School District,John,Scalice,,
Connecticut,Westport School District,Westport School District,Thomas,Scarice,,
Connecticut,Orange School District,Orange School District,Vince,Scarpetti,,
Connecticut,Regional School District 12,Regional School District 12,Donald,Schels,,
Connecticut,North Branford School District,North Branford School District,Scott,Schoonmaker,,
Connecticut,Waterbury School District,Waterbury School District,Darren,Schwartz,,
Connecticut,Preston School District,Preston School District,Roy,Seitsinger,,
Connecticut,Trumbull School District,Trumbull School District,Martin,Semmel,,
Connecticut,Wolcott School District,Wolcott School District,Shawn,Simpson,,
Connecticut,Regional School District 11,Regional School District 11,Andrew,Skarzynski,,
Connecticut,Regional School District 15,Regional School District 15,Melinda,Smith,,
Connecticut,Wilton School District,Wilton School District,Kevin,Smith,,
Connecticut,Thompson School District,Thompson School District,Joshua,Smith,,
Connecticut,Regional School District 17,Regional School District 17,Paul,Smith,,
Connecticut,Cheshire School District,Cheshire School District,Jeffrey,Solan,,
Connecticut,New Hartford School District,New Hartford School District,Jeffrey,Sousa,,
Connecticut,Interdistrict School for Arts and Comm District,Interdistrict School for Arts and Comm District,Nicholas,Spera,,
Connecticut,Willington School District,Willington School District,Phil,Stevens,,
Connecticut,North Haven School District,North Haven School District,Patrick,Stirk,,
Connecticut,Stafford School District,Stafford School District,Scott,Sugarman,,
Connecticut,Colchester School District,Colchester School District,Daniel,Sullivan,,
Connecticut,New Beginnings Inc Family Academy District,New Beginnings Inc Family Academy District,Ronelle,Swagerty,,
Connecticut,East Haven School District,East Haven School District,Adam,Swinney,,
Connecticut,Booker T. Washington Academy District,Booker T. Washington Academy District,John,Taylor,,
Connecticut,Fairfield School District,Fairfield School District,Michael,Testani,,
Connecticut,Regional School District 10,Regional School District 10,Fran,Thompson,,
Connecticut,Hartford School District,Hartford School District,Andraé,Townsel,,
Connecticut,Branford School District,Branford School District,Christopher,Tranberg,,
Connecticut,East Windsor School District,East Windsor School District,Patrick,Tudryn,,
Connecticut,Newtown School District,Newtown School District,Anne,Uberti,,
Connecticut,East Hampton School District,East Hampton School District,Timothy,Van Tasel,,
Connecticut,Middletown School District,Middletown School District,Alberto,Vazquez Matos,,
Connecticut,West Hartford School District,West Hartford School District,Paul,Vicinus,,
Connecticut,Regional School District 20,Regional School District 20,Jeffrey,Villar,,
Connecticut,Montville School District,Montville School District,Diane,Vumback,,
Connecticut,Common Ground High School District,Common Ground High School District,Genevive,Walker,,
Connecticut,Elm City Montessori School District,Elm City Montessori School District,Julia,Webb,,
Connecticut,Regional School District 04,Regional School District 04,Iris,White,,
Connecticut,Bristol School District,Bristol School District,Brian,White,,
Connecticut,Wethersfield School District,Wethersfield School District,Jeffrey,Wihbey,,
Connecticut,Tolland School District,Tolland School District,Walter,Willett,,
Connecticut,Columbia School District,Columbia School District,Barbara,Wilson,,
Connecticut,Torrington School District,Torrington School District,Michael,Wilson,,
Connecticut,Regional School District 16,Regional School District 16,Michael,Yamin,,
Connecticut,Bloomfield School District,Bloomfield School District,Tracy,Youngberg,,
Connecticut,Bozrah School District,Bozrah School District,Jack,Zamary,,
Connecticut,Rocky Hill School District,Rocky Hill School District,Mark,Zito,,
Maine,Wayfinder Schools,Wayfinder Schools,Jacob,Abbott,,
Maine,RSU 73,RSU 73,Scott,Albert,,
Maine,RSU 10,RSU 10,Deborah,Alden,,
Maine,RSU 40/MSAD 40,RSU 40/MSAD 40,Thomas,Ambrose,,
Maine,RSU 02,RSU 02,Richard,Amero,,
Maine,Wiscasset Public Schools,Wiscasset Public Schools,Kimberly,Anderson,,
Maine,Maine Academy of Natural Sciences,Maine Academy of Natural Sciences,Ryan,Anthony,,
Maine,Monhegan Plt School Dept,Monhegan Plt School Dept,Tonya,Arnold,,
Maine,RSU 31/MSAD 31,RSU 31/MSAD 31,Matthew,Arsenault,,
Maine,Arthur R. Gould Sch LCYDC,Arthur R. Gould Sch LCYDC,Peter,Badalament,,
Maine,RSU 60/MSAD 60,RSU 60/MSAD 60,Audra,Beauvais,,
Maine,East Range CSD,East Range CSD,Amanda,Belanger,,
Maine,Ellsworth Public Schools,Ellsworth Public Schools,Amy,Boles,,
Maine,RSU 30/MSAD 30,RSU 30/MSAD 30,William,Braun,,
Maine,Islesboro Public Schools,Islesboro Public Schools,Cornelia,Brown,,
Maine,Maine Virtual Academy,Maine Virtual Academy,Melinda,Browne,,
Maine,Acadia Academy,Acadia Academy,Heather,Bucklin,,
Maine,RSU 78,RSU 78,Georgia,Campbell,,
Maine,RSU 74/MSAD 74,RSU 74/MSAD 74,Mark,Campbell,,
Maine,Lincolnville Public Schools,Lincolnville Public Schools,Shawn,Carlson,,
Maine,Cutler Public Schools,Cutler Public Schools,Nicole,Case,,
Maine,RSU 35/MSAD 35,RSU 35/MSAD 35,John,Caverly,,
Maine,RSU 38,RSU 38,James,Charette,,
Maine,Milford Public Schools,Milford Public Schools,Patricia,Clark,,
Maine,Education in Unorganized Terr,Education in Unorganized Terr,Richard,Colpitts,,
Maine,RSU 58/MSAD 58,RSU 58/MSAD 58,Laura,Columbia,,
Maine,Andover Public Schools,Andover Public Schools,Leanne,Condon,,
Maine,ME Sch of Science & Mathematics,ME Sch of Science & Mathematics,Robert,Constantine,,
Maine,RSU 21,RSU 21,Terri,Cooper,,
Maine,Fiddlehead School of Arts and Sciences,Fiddlehead School of Arts and Sciences,Jacinda,Cotton-Castro,,
Maine,RSU 34,RSU 34,Matthew,Cyr,,
Maine,Wells-Ogunquit CSD,Wells-Ogunquit CSD,James,Daly,,
Maine,RSU 85/MSAD 19,RSU 85/MSAD 19,Mary,Day,,
Maine,Medway Public Schools,Medway Public Schools,Alyssa,Dickinson,,
Maine,York Public Schools,York Public Schools,Timothy,Doak,,
Maine,Caswell Public Schools,Caswell Public Schools,William,Dobbins,,
Maine,Yarmouth Schools,Yarmouth Schools,Andrew,Dolloff,,
Maine,Auburn Public Schools,Auburn Public Schools,Susan,Dorris,,
Maine,Kittery Public Schools,Kittery Public Schools,JoAnne,Dowd,,
Maine,RSU 67,RSU 67,Chris,Downing,,
Maine,RSU 56,RSU 56,Pamela,Doyen,,
Maine,RSU 88/MSAD 24,RSU 88/MSAD 24,Karen,Dubois,,
Maine,RSU 24,RSU 24,Michael,Eastman,,
Maine,RSU 09,RSU 09,Christian,Elkington,,
Maine,RSU 71,RSU 71,Bob,England,,
Maine,RSU 29/MSAD 29,RSU 29/MSAD 29,Joseph,Fagnant,,
Maine,St George Public Schools,St George Public Schools,Michael,Felton,,
Maine,SAU 53,SAU 53,Jack,Finley,,
Maine,Winthrop Public Schools,Winthrop Public Schools,Becky,Foley,,
Maine,RSU 41/MSAD 41,RSU 41/MSAD 41,Darcie,Fournier,,
Maine,RSU 07/MSAD 07,RSU 07/MSAD 07,Peter,Gallace,,
Maine,RSU 42/MSAD 42,RSU 42/MSAD 42,Heidi,Garrison,,
Maine,RSU 18,RSU 18,Carl,Gartley,,
Maine,RSU 06/MSAD 06,RSU 06/MSAD 06,Clay,Gleason,,
Maine,Lisbon Public Schools,Lisbon Public Schools,Richard,Green,,
Maine,RSU 79/MSAD 01,RSU 79/MSAD 01,Benjamin,Greenlaw,,
Maine,RSU 04,RSU 04,Katherine,Aliberti,,
Maine,RSU 32/MSAD 32,RSU 32/MSAD 32,Joel,Hall,,
Maine,Waterville Public Schools,Waterville Public Schools,Peter,Hallen,,
Maine,Hancock Public Schools,Hancock Public Schools,Ellen,Halliday,,
Maine,RSU 19,RSU 19,Michael,Hammer,,
Maine,RSU 16,RSU 16,Amy,Hediger,,
Maine,RSU 49/MSAD 49,RSU 49/MSAD 49,Roberta,Hersom,,
Maine,Ecology Learning Center,Ecology Learning Center,Kayla,Higgins,,
Maine,RSU 26,RSU 26,Meredith,Higgins,,
Maine,RSU 11/MSAD 11,RSU 11/MSAD 11,Patricia,Hopkins,,
Maine,RSU 14,RSU 14,Christopher,Howell,,
Maine,East Millinocket Public Schools,East Millinocket Public Schools,Mark,Jenkins,,
Maine,RSU 37/MSAD 37,RSU 37/MSAD 37,Kenneth,Johnson,,
Maine,MSAD 46,MSAD 46,Kevin,Jordan,,
Maine,Boothbay-Boothbay Hbr CSD,Boothbay-Boothbay Hbr CSD,Robert,Kahler,,
Maine,RSU 86/MSAD 20,RSU 86/MSAD 20,John,Blais,,
Maine,RSU 08/MSAD 08,RSU 08/MSAD 08,Katrina,Kane,,
Maine,Richmond Public Schools,Richmond Public Schools,Chad,Kempton,,
Maine,RSU 44/MSAD 44,RSU 44/MSAD 44,Mark,Kenney,,
Maine,Sebago Public Schools,Sebago Public Schools,Charlotte,Goscinski,,
Maine,Maine Arts Academy,Maine Arts Academy,Mary,King,,
Maine,Baxter Academy for Technology and Science,Baxter Academy for Technology and Science,Anna,Klein-Christie,,
Maine,Westbrook Public Schools,Westbrook Public Schools,Peter,Lancia,,
Maine,RSU 55/MSAD 55,RSU 55/MSAD 55,Carl,Landry,,
Maine,RSU 89/Millinocket Public Schools,RSU 89/Millinocket Public Schools,Shelley,Lane,,
Maine,Lewiston Public Schools,Lewiston Public Schools,Jake,Langlais,,
Maine,RSU 59/MSAD 59,RSU 59/MSAD 59,Bonnie,Levesque,,
Maine,RSU 28/MSAD 28,RSU 28/MSAD 28,Maria,Libby,,
Maine,RSU 53/MSAD 53,RSU 53/MSAD 53,Sharon,Littlefield,,
Maine,Eustis Public Schools,Eustis Public Schools,Barry,London,,
Maine,Fayette Public Schools,Fayette Public Schools,Courtney,Lyons,,
Maine,RSU 83/MSAD 13,RSU 83/MSAD 13,Sandra,MacArthur,,
Maine,RSU 80/MSAD 04,RSU 80/MSAD 04,Kelly,Macfadyen,,
Maine,RSU 17/MSAD 17,RSU 17/MSAD 17,Heather,Manchester,,
Maine,RSU 01,RSU 01,Patrick,Manuel,,
Maine,RSU 57/MSAD 57,RSU 57/MSAD 57,Stephen,Marquis,,
Maine,South Portland Public Schools,South Portland Public Schools,Timothy,Matheney,,
Maine,RSU 39,RSU 39,Jane,McCall,,
Maine,RSU 13,RSU 13,John,McDonald,,
Maine,Deer Isle - Stonington CSD,Deer Isle - Stonington CSD,Tara,McKechnie,,
Maine,RSU 52/MSAD 52,RSU 52/MSAD 52,Catherine,Medd,,
Maine,Woodland Public Schools,Woodland Public Schools,Karla,Michaud,,
Maine,RSU 20,RSU 20,Laua,Miller,,
Maine,Glenburn Public Schools,Glenburn Public Schools,Richard,Modery,,
Maine,RSU 54/MSAD 54,RSU 54/MSAD 54,Jonathan,Moody,,
Maine,Scarborough Public Schools,Scarborough Public Schools,Diane,Nadeau,,
Maine,Indian Island,Indian Island,Gholamreza,Namin,,
Maine,Sanford Public Schools,Sanford Public Schools,Matthew,Nelson,,
Maine,Falmouth Public Schools,Falmouth Public Schools,Steve,Nolan,,
Maine,RSU 75/MSAD 75,RSU 75/MSAD 75,Heidi,O'Leary,,
Maine,Brewer Public Schools,Brewer Public Schools,Gregg,Palmer,,
Maine,RSU 03/MSAD 03,RSU 03/MSAD 03,Paul,Penna,,
Maine,Blue Hill Public Schools,Blue Hill Public Schools,Derek,Perkins,,
Maine,Gorham Public Schools,Gorham Public Schools,Heather,Perry,,
Maine,Bangor Region 4,Bangor Region 4,Amanda,Peterson,,
Maine,Vassalboro Public Schools,Vassalboro Public Schools,Alan,Pfeiffer,,
Maine,RSU 51/MSAD 51,RSU 51/MSAD 51,Jeff,Porter,,
Maine,RSU 50,RSU 50,Jonathan,Porter,,
Maine,Brunswick Public Schools,Brunswick Public Schools,Phillip,Potenziano,,
Maine,Otis Public Schools,Otis Public Schools,Nichole,Pothier,,
Maine,RSU 70/MSAD 70,RSU 70/MSAD 70,Tyler,Putnam,,
Maine,Biddeford Public Schools,Biddeford Public Schools,Jeremy,Ray,,
Maine,RSU 22,RSU 22,Nicholas,Raymond,,
Maine,Cape Elizabeth Public Schools,Cape Elizabeth Public Schools,Christopher,Record,,
Maine,RSU 72/MSAD 72,RSU 72/MSAD 72,Marie,Robinson,,
Maine,Bangor Public Schools,Bangor Public Schools,Jay,Robinson,,
Maine,Acton Public Schools,Acton Public Schools,Jonathan,Ross,,
Maine,Bristol Public Schools,Bristol Public Schools,Todd,Sanders,,
