district_code,district
112,Contoocook Valley
23,Ashland
269,Inter-Lakes Cooperative
51,Berlin
388,Newfound Area
388,Pasquaney
423,Oyster River Coop
101,Claremont
539,Unity
105,Colebrook
437,Pittsburg
501,Stewartstown
111,Concord
35,Bartlett
113,Conway
271,Jackson
131,Derry Cooperative
141,Dover
319,Londonderry
187,Freedom
333,Madison
525,Tamworth
165,Epping
29,Auburn
79,Candia
261,Hooksett
63,Brentwood
153,East Kingston
172,Exeter Region Cooperative
173,Exeter
281,Kensington
387,Newfields
511,Stratham
476,Sanborn Regional
185,Franklin
199,Goffstown
377,New Boston
171,Errol
203,Gorham Randolph Shelburne Cooperative
355,Milan
227,Hampton Falls
405,North Hampton
485,Seabrook
495,South Hampton
581,Winnacunnet Cooperative
39,Bath
238,Haverhill Cooperative
435,Piermont
549,Warren
245,Henniker
275,John Stark Regional
503,Stoddard
555,Weare
41,Bedford
351,Merrimack
315,Litchfield
425,Pelham
95,Chesterfield
235,Harrisville
279,Keene
339,Marlborough
341,Marlow
375,Nelson
563,Westmoreland
285,Laconia
399,Newmarket
441,Plainfield
453,Raymond
251,Hillsboro-Deering Cooperative
551,Washington
53,Bethlehem
288,Lafayette Regional
291,Landaff
306,Lisbon Regional
450,Profile
568,White Mountains Regional
335,Manchester
17,Amherst
367,Mont Vernon
493,Souhegan Cooperative
357,Milford
71,Brookline
259,Hollis
260,Hollis-Brookline Cooperative
371,Nashua
401,Newport
411,Northwood
369,Moultonborough
19,Andover
352,Merrimack Valley
274,Jaffrey-Rindge Cooperative
75,Campton
257,Holderness
428,Pemi-Baker Regional
447,Plymouth
467,Rumney
531,Thornton
553,Waterville Valley
559,Wentworth
208,Governor Wentworth Regional
215,Greenland
381,New Castle
391,Newington
471,Rye
439,Pittsfield
449,Portsmouth
9,Allenstown
99,Chichester
127,Deerfield
167,Epsom
427,Pembroke
461,Rochester
223,Hampstead
491,Somersworth
473,Salem
407,Northumberland
499,Stark
509,Stratford
582,Winnisquam Regional
174,Fall Mountain Regional
175,Farmington
343,Mascoma Valley Regional
572,Wilton-Lyndeborough Cooperative
359,Milton
276,Kearsarge Regional
263,Hopkinton
57,Bow
149,Dunbarton
305,Lincoln-Woodstock Cooperative
353,Middleton
142,Dresden
233,Hanover
299,Lempster
15,Alton
191,Gilford
33,Barrington
211,Grantham
327,Lyme
365,Monroe
195,Gilmanton
486,Shaker Regional
267,Hudson
93,Chester
189,Fremont
317,Littleton
515,Sunapee
31,Barnstead
342,Mascenic Regional
295,Lebanon
345,Mason
225,Hampton
255,Hinsdale
363,Monadnock Regional
573,Winchester
575,Windham
117,Croydon
115,Cornish
543,Wakefield
247,Hill
463,Rollinsford
507,Strafford
534,Timberlane Regional
413,Nottingham
457,Rivendell
998,Coe-Brown Northwood Academy
999,Pinkerton Academy
970,Prospect Mountain JMA
725,Academy for Science and Design Charter School
702,Arts Academy of New Hampshire Chartered Public High School 
726,Benjamin Franklin Academy Chartered Public School
720,Coastal Waters Chartered Public School
743,Compass Classical Academy Charter School
723,CSI Charter School
742,Gate City Charter School For the Arts
750,Gathering Waters Charter School
709,Great Bay Charter School
718,Heartwood Public Charter School
708,Kreiva Academy Public Charter School
706,LEAF Charter School
719,Ledyard Charter School
722,Lionheart Classical Academy Chartered Public School
733,Making Community Connections Charter School
744,MicroSociety Academy Charter School Foundation
729,Mill Falls Charter School
704,Mountain Village Charter School
740,Next Charter School
703,North Country Charter Academy
716,Northeast Woodland Chartered Public School
735,Polaris Charter School
724,River View Chartered Public School
737,Robert Frost Charter School
705,Seacoast Charter School
714,Spark Academy of Advanced Technologies
721,Strong Foundations Charter School
717,Surry Village Charter School
731,The Birches Academy of Academics & Art A Public Charter Sch
741,The Founders Academy Charter School
727,Virtual Learning Academy Charter School
712,Windham Academy Public Charter School