grade_span,kindergarten,1,2,3,4,5,6,7,8,9,10,11,12
K 1-8,1,1,1,1,1,1,1,1,1,0,0,0,0
P K 1-8,1,1,1,1,1,1,1,1,1,0,0,0,0
5-8,0,0,0,0,0,1,1,1,1,0,0,0,0
P K 1-4,1,1,1,1,1,0,0,0,0,0,0,0,0
1-4,0,1,1,1,1,0,0,0,0,0,0,0,0
P K,1,0,0,0,0,0,0,0,0,0,0,0,0
K 1-6,1,1,1,1,1,1,1,0,0,0,0,0,0
K 1-4,1,1,1,1,1,0,0,0,0,0,0,0,0
5-6,0,0,0,0,0,1,1,0,0,0,0,0,0
9-12,0,0,0,0,0,0,0,0,0,1,1,1,1
7-8,0,0,0,0,0,0,0,1,1,0,0,0,0
6-8,0,0,0,0,0,0,1,1,1,0,0,0,0
P K 1-5,1,1,1,1,1,1,0,0,0,0,0,0,0
P K 1-6,1,1,1,1,1,1,1,0,0,0,0,0,0
P K 1-3,1,1,1,1,0,0,0,0,0,0,0,0,0
4-6,0,0,0,0,1,1,1,0,0,0,0,0,0
K 1-5,1,1,1,1,1,1,0,0,0,0,0,0,0
P K 1-2,1,1,1,0,0,0,0,0,0,0,0,0,0
3-5,0,0,0,1,1,1,0,0,0,0,0,0,0
K 1-2,1,1,1,0,0,0,0,0,0,0,0,0,0
P,0,0,0,0,0,0,0,0,0,0,0,0,0
2-4,0,0,1,1,1,0,0,0,0,0,0,0,0
P K 1,1,1,0,0,0,0,0,0,0,0,0,0,0
4-8,0,0,0,0,1,1,1,1,1,0,0,0,0
K 1-3,1,1,1,1,0,0,0,0,0,0,0,0,0
1,0,1,0,0,0,0,0,0,0,0,0,0,0
K,1,0,0,0,0,0,0,0,0,0,0,0,0
2-5,0,0,1,1,1,1,0,0,0,0,0,0,0
1-5,0,1,1,1,1,1,0,0,0,0,0,0,0
K 1,1,1,0,0,0,0,0,0,0,0,0,0,0
3-6,0,0,0,1,1,1,1,0,0,0,0,0,0
1-8,0,1,1,1,1,1,1,1,1,0,0,0,0
12,0,0,0,0,0,0,0,0,0,0,0,0,1
P K 1-12,1,1,1,1,1,1,1,1,1,1,1,1,1
K 1-12,1,1,1,1,1,1,1,1,1,1,1,1,1
7-12,0,0,0,0,0,0,0,1,1,1,1,1,1
6-12,0,0,0,0,0,0,1,1,1,1,1,1,1
6-9,0,0,0,0,0,0,1,1,1,1,0,0,0
1-12,0,1,1,1,1,1,1,1,1,1,1,1,1
4-12,0,0,0,0,1,1,1,1,1,1,1,1,1
1-10,0,1,1,1,1,1,1,1,1,1,1,0,0
K 1-9,1,1,1,1,1,1,1,1,1,1,0,0,0
3-12,0,0,0,1,1,1,1,1,1,1,1,1,1
P K 1-9,1,1,1,1,1,1,1,1,1,1,0,0,0
5-12,0,0,0,0,0,1,1,1,1,1,1,1,1
5-12 SpEd,0,0,0,0,0,1,1,1,1,1,1,1,1
10-12,0,0,0,0,0,0,0,0,0,0,1,1,1
6-12 SpEd,0,0,0,0,0,0,1,1,1,1,1,1,1
9-12 SpEd,0,0,0,0,0,0,0,0,0,1,1,1,1
3-8 SpEd,0,0,0,1,1,1,1,1,1,0,0,0,0
K 1-3 SpEd,1,1,1,1,0,0,0,0,0,0,0,0,0