"district","district_code","grades_served","district_type","urbanicity","num_schools","num_high_schools","enrollment_2025","enrollment_change_6yr_pct","n_aian","n_asian","n_black","n_hispanic","n_multiracial","n_white","n_nhpi","pct_aian","pct_aapi","pct_black","pct_hispanic","pct_multiracial","pct_white","pct_lowinc","pct_el","pct_sped","n_ela_prof_3_8","pct_ela_prof_3_8","n_math_prof_3_8","pct_math_prof_3_8","n_ela_prof_9_12","pct_ela_prof_9_12","n_math_prof_9_12","pct_math_prof_9_12","grad_n","grad_rate","pct_chronic_absenteeism","per_pupil_spending","pct_csi_tsi","pct_lang_eo","pct_lang_spanish","pct_lang_indo","pct_lang_aapi","pct_lang_other","pct_fte_cert","retention_n","retention_rate"
"Andover School District",10011,"K-6","Traditional","Rural",1,0,239,0.23,0,0,4,27,4,203,0,0,0,0.02,0.11,0.02,0.85,0.28,0.03,0.13,68,0.63,53,0.49,NA,NA,NA,NA,NA,NA,0.06,22038,0,NA,NA,NA,NA,NA,1,21,0.95
"Ansonia School District",20011,"K-12","Traditional","Suburban",7,4,2404,0.05,3,48,522,1184,111,533,3,0,0.02,0.22,0.49,0.05,0.22,0.64,0.08,0.18,294,0.26,250,0.22,70,0.47,14,0.09,138,0.86,0.23,19869,0.25,0.84,0.13,0.02,0.01,NA,1,152,0.92
"Area Cooperative Educational Services",2440014,"K-12","Regional","Suburban",10,5,1726,-0.06,4,44,567,580,98,430,4,0,0.03,0.33,0.34,0.06,0.25,0.5,0.05,0.49,280,0.31,208,0.23,4,0.12,0,0,NA,NA,0.31,52153,0,NA,NA,NA,NA,NA,0.97,159,0.83
"Ashford School District",30011,"K-8","Traditional","Rural",1,0,351,-0.1,0,4,7,33,10,294,4,0,0.02,0.02,0.09,0.03,0.84,0.39,0.01,0.17,120,0.53,116,0.51,NA,NA,NA,NA,NA,NA,0.06,26212,0,1,0,NA,NA,NA,1,37,0.92
"Avon School District",40011,"K-12","Traditional","Suburban",6,1,3092,-0.03,5,552,184,277,152,1917,5,0,0.18,0.06,0.09,0.05,0.62,0.13,0.03,0.13,1002,0.72,945,0.68,181,0.85,132,0.62,210,0.95,0.11,21328,0,0.73,0.03,0.11,0.11,0.02,1,232,0.94
"Barkhamsted School District",50011,"K-6","Traditional","Rural",3,0,227,0.04,1,1,0,12,9,204,0,0,0,0,0.05,0.04,0.9,0.25,0.01,0.28,63,0.5,62,0.49,NA,NA,NA,NA,NA,NA,0.12,21438,0,0.89,0.04,0.07,NA,NA,1,19,0.95
"Berlin School District",70011,"K-12","Traditional","Suburban",6,2,2634,-0.04,2,116,64,367,68,2016,2,0,0.04,0.02,0.14,0.03,0.77,0.25,0.05,0.17,716,0.62,681,0.59,128,0.68,65,0.35,189,0.95,0.15,22299,0,0.89,0.01,0.1,NA,0,1,213,0.93
"Bethany School District",80011,"K-6","Traditional","Rural",1,0,430,0.16,6,31,11,26,6,351,0,0.01,0.07,0.03,0.06,0.01,0.82,0.13,0.05,0.21,185,0.74,171,0.68,NA,NA,NA,NA,NA,NA,0.09,19107,0,NA,NA,NA,NA,NA,1,26,0.7
"Bethel School District",90011,"K-12","Traditional","Suburban",7,3,3227,0.03,47,233,147,908,128,1751,13,0.01,0.08,0.05,0.28,0.04,0.54,0.33,0.08,0.17,848,0.6,849,0.6,188,0.71,108,0.41,232,0.94,0.08,18624,0,0.8,0.06,0.12,0.02,NA,1,225,0.91
"Bloomfield School District",110011,"K-12","Traditional","Suburban",10,2,1897,-0.14,4,34,1231,344,88,192,4,0,0.02,0.65,0.18,0.05,0.1,0.54,0.05,0.22,254,0.38,186,0.28,74,0.49,12,0.08,125,0.83,0.18,24674,0,0.87,0.08,0.02,NA,0.03,1,160,0.84
"Bolton School District",120011,"K-12","Traditional","Rural",3,2,688,-0.12,0,11,39,76,39,523,0,0,0.02,0.06,0.11,0.06,0.76,0.23,0,0.11,186,0.64,184,0.65,49,0.77,24,0.38,49,0.94,0.1,22301,0,0.92,NA,0.05,NA,0.03,1,58,0.82
"Bozrah School District",130011,"K-8","Traditional","Suburban",1,0,180,-0.05,1,1,1,19,12,145,0,0.01,0.01,0.01,0.11,0.07,0.81,0.35,0.02,0.22,55,0.51,56,0.52,NA,NA,NA,NA,NA,NA,0.11,28086,0,0.83,0.04,0.15,NA,NA,1,16,0.84
"Branford School District",140011,"K-12","Traditional","Suburban",8,3,2567,-0.08,4,160,118,443,137,1702,4,0,0.06,0.05,0.17,0.05,0.66,0.38,0.08,0.15,632,0.56,571,0.51,119,0.67,62,0.35,197,0.91,0.13,25027,0,0.86,0.05,0.05,0.04,0,1,216,0.92
"Brass City Charter School District",2900013,"K-8","Charter","Urban",1,0,401,0.23,0,6,132,227,21,15,0,0,0.01,0.33,0.57,0.05,0.04,0.7,0.04,0.14,112,0.46,76,0.31,NA,NA,NA,NA,NA,NA,0.21,16251,0,NA,NA,NA,NA,NA,0.88,26,0.84
"Bridgeport School District",150011,"K-12","Traditional","Urban",38,9,20022,-0.01,71,324,5349,12226,490,1542,20,0,0.02,0.27,0.61,0.02,0.08,0.87,0.31,0.21,1799,0.21,1338,0.16,370,0.34,110,0.1,1120,0.75,0.33,18922,0.37,0.49,0.37,0.12,0.01,0.02,0.96,1216,0.87
"Bristol School District",170011,"K-12","Traditional","Suburban",31,11,7713,-0.03,6,271,639,2998,488,3306,6,0,0.04,0.08,0.39,0.06,0.43,0.55,0.07,0.22,1648,0.48,1397,0.41,272,0.51,123,0.23,562,0.91,0.18,20882,0,0.82,0.14,0.01,0.02,0,1,497,0.9
"Brookfield School District",180011,"K-12","Traditional","Suburban",3,1,2542,-0.03,24,195,103,466,12,1731,12,0.01,0.08,0.04,0.18,0,0.68,0.24,0.05,0.14,710,0.62,620,0.54,154,0.76,87,0.43,214,0.94,0.04,20908,0,0.87,0.03,0.07,0.03,NA,1,185,0.9
"Brooklyn School District",190011,"K-8","Traditional","Rural",2,0,852,-0.07,1,17,18,104,49,662,1,0,0.02,0.02,0.12,0.06,0.78,0.4,0.02,0.23,266,0.49,277,0.51,0,NA,0,NA,NA,NA,0.08,19247,0,0.96,0.03,0.02,NA,NA,1,70,0.92
"Canterbury School District",220011,"K-8","Traditional","Rural",2,0,512,0.08,0,6,5,62,5,434,0,0,0.01,0.01,0.12,0.01,0.85,0.35,0.03,0.14,166,0.54,168,0.55,0,NA,0,NA,NA,NA,0.09,20623,0,0.96,NA,NA,0.04,NA,1,40,0.93
"Canton School District",230011,"K-12","Traditional","Suburban",4,1,1439,-0.09,0,16,83,103,44,1177,16,0,0.02,0.06,0.07,0.03,0.82,0.2,0.01,0.19,416,0.66,391,0.62,80,0.81,49,0.5,104,0.91,0.14,23009,0,0.97,0.03,NA,0,NA,1,126,0.91
"Capitol Region Education Council",2410014,"K-12","Regional","Suburban",23,11,9091,0.05,12,406,2841,4004,536,1281,12,0,0.05,0.31,0.44,0.06,0.14,0.63,0.1,0.23,1077,0.3,808,0.23,212,0.39,44,0.08,417,0.9,0.28,30781,0.33,NA,NA,NA,NA,NA,1,737,0.92
"Chaplin School District",240011,"K-6","Traditional","Rural",1,0,150,0.07,0,4,4,17,7,119,0,0,0.02,0.02,0.11,0.05,0.79,0.04,0.02,0.21,34,0.44,42,0.55,NA,NA,NA,NA,NA,NA,0.08,26867,0,0.98,0.04,NA,NA,NA,1,18,0.95
"Cheshire School District",250011,"K-12","Traditional","Suburban",12,4,4317,0.03,3,438,152,449,172,3100,3,0,0.1,0.04,0.1,0.04,0.72,0.18,0.04,0.15,1538,0.77,1525,0.77,227,0.8,156,0.55,276,0.94,0.07,20515,0,0.9,0.02,0.03,0.05,0,1,311,0.92
"Clinton School District",270011,"K-12","Traditional","Suburban",3,1,1426,-0.15,0,40,12,376,33,965,0,0,0.03,0.01,0.26,0.02,0.68,0.42,0.12,0.17,304,0.5,339,0.56,87,0.68,39,0.3,115,0.95,0.11,24911,0,0.89,0.02,0.04,0.06,NA,1,135,0.9
"Colchester School District",280011,"K-12","Traditional","Rural",5,2,2101,-0.1,2,40,57,201,99,1701,2,0,0.02,0.03,0.1,0.05,0.81,0.25,0.02,0.19,558,0.58,591,0.62,97,0.68,60,0.42,145,0.94,0.15,21216,0,0.95,0.02,0.02,0.01,NA,1,174,0.9
"Columbia School District",300011,"K-8","Traditional","Rural",1,0,444,0.08,2,2,2,47,20,370,0,0.01,0.01,0.01,0.11,0.05,0.83,0.22,0.01,0.15,145,0.53,130,0.48,NA,NA,NA,NA,NA,NA,0.07,21600,0,1,NA,NA,NA,NA,1,40,0.89
"Cooperative Educational Services",2430014,"K-12","Regional","Urban",7,4,757,-0.12,2,34,171,303,31,213,2,0,0.05,0.23,0.4,0.04,0.28,0.45,0.04,0.41,99,0.38,98,0.37,3,0.5,3,0.5,NA,NA,0.24,38503,0,NA,NA,NA,NA,NA,0.88,97,0.92
"Cornwall School District",310011,"K-8","Traditional","Rural",1,0,86,-0.01,0,0,2,6,2,76,0,0,0,0.02,0.07,0.02,0.88,0.37,0.03,0.03,20,0.5,20,0.5,NA,NA,NA,NA,NA,NA,0.09,34007,0,NA,NA,NA,NA,NA,1,13,0.93
"Coventry School District",320011,"K-12","Traditional","Rural",7,3,1612,-0.04,2,19,13,142,70,1363,2,0,0.01,0.01,0.09,0.04,0.85,0.27,0.01,0.16,528,0.74,457,0.64,88,0.8,57,0.52,97,0.95,0.09,18654,0,0.99,0.01,NA,NA,NA,1,119,0.8
"Cromwell School District",330011,"K-12","Traditional","Suburban",4,1,1841,-0.07,3,95,117,277,110,1236,3,0,0.05,0.06,0.15,0.06,0.67,0.3,0.05,0.14,534,0.61,466,0.53,75,0.68,43,0.39,131,0.94,0.12,20663,0,0.85,0.01,0.13,0.02,NA,0.99,133,0.84
"Danbury School District",340011,"K-12","Traditional","Urban",21,3,11956,0,20,487,735,7897,470,2327,20,0,0.04,0.06,0.66,0.04,0.19,0.56,0.38,0.15,1816,0.33,1631,0.3,298,0.36,99,0.12,702,0.76,0.15,17100,0,0.51,0.36,0.12,0.01,0,1,770,0.88
"Darien School District",350011,"K-12","Traditional","Suburban",7,1,4673,-0.02,2,310,39,352,237,3730,2,0,0.07,0.01,0.08,0.05,0.8,0.02,0.01,0.21,1760,0.84,1746,0.83,331,0.94,276,0.79,318,0.97,0.05,25891,0,0.91,0.03,0.03,0.02,NA,1,401,0.94
"Derby School District",370011,"K-12","Traditional","Suburban",7,3,1311,0.01,0,14,269,597,89,328,14,0,0.02,0.21,0.46,0.07,0.25,0.56,0.06,0.24,207,0.34,144,0.24,30,0.46,6,0.09,87,0.78,0.19,23073,0.25,0.69,0.24,0.05,0.01,0.01,1,115,0.91
"East Granby School District",400011,"K-12","Traditional","Suburban",4,1,880,0.05,0,66,53,74,38,649,0,0,0.07,0.06,0.08,0.04,0.74,0.19,0.03,0.15,292,0.72,243,0.6,53,0.8,31,0.47,48,0.94,0.1,24227,0,0.96,NA,0.03,0.01,NA,1,72,0.88
"East Haddam School District",410011,"K-12","Traditional","Rural",4,2,954,-0.04,3,6,3,68,25,849,0,0,0.01,0,0.07,0.03,0.89,0.27,0.01,0.14,227,0.56,220,0.54,38,0.64,19,0.32,62,0.92,0.09,24690,0,0.95,0.01,0.05,NA,NA,1,94,0.92
"East Hampton School District",420011,"K-12","Traditional","Rural",6,3,1676,-0.09,0,10,23,140,59,1433,10,0,0.01,0.01,0.08,0.04,0.86,0.23,0.01,0.2,465,0.63,428,0.58,95,0.81,41,0.35,144,0.97,0.11,22129,0,0.97,NA,0.03,NA,NA,1,131,0.92
"East Hartford School District",430011,"K-12","Traditional","Urban",15,4,6504,-0.04,19,242,1951,3455,210,613,14,0,0.04,0.3,0.53,0.03,0.09,0.61,0.2,0.24,1043,0.39,902,0.34,203,0.4,107,0.21,422,0.85,0.23,17348,0,0.69,0.24,0.02,0.02,0.03,1,478,0.89
"East Haven School District",440011,"K-12","Traditional","Suburban",8,1,2857,-0.01,4,90,182,1232,106,1239,4,0,0.03,0.06,0.43,0.04,0.43,0.59,0.14,0.2,434,0.38,328,0.29,90,0.43,41,0.2,199,0.83,0.17,18985,0,0.79,0.15,0.05,0,NA,0.94,214,0.87
"East Lyme School District",450011,"K-12","Traditional","Suburban",7,2,2500,-0.07,6,231,46,271,158,1782,6,0,0.09,0.02,0.11,0.06,0.71,0.25,0.04,0.21,697,0.69,642,0.63,192,0.82,114,0.49,235,0.94,0.08,23370,0,0.89,0.02,0.05,0.05,0,1,217,0.9
"East Windsor School District",470011,"K-12","Traditional","Suburban",4,2,1035,-0.04,1,73,141,277,62,480,1,0,0.07,0.14,0.27,0.06,0.46,0.58,0.06,0.2,226,0.51,193,0.43,28,0.48,13,0.22,51,0.86,0.16,25949,0,0.94,0.06,NA,NA,NA,1,85,0.85
"Eastford School District",390011,"K-8","Traditional","Rural",1,0,173,0.15,0,2,2,15,12,143,0,0,0.01,0.01,0.09,0.07,0.83,0.25,0.02,0.2,65,0.64,56,0.55,NA,NA,NA,NA,NA,NA,0.09,22285,0,1,NA,NA,NA,NA,0.98,17,0.94
"Easton School District",460011,"K-8","Traditional","Rural",2,0,894,0.01,0,64,32,90,45,663,0,0,0.07,0.04,0.1,0.05,0.74,0.07,0.04,0.19,436,0.75,455,0.78,NA,NA,NA,NA,NA,NA,0.08,22599,0,0.9,0.02,0.07,0.01,NA,1,68,0.83
"EdAdvance",2420014,"9-12","Regional","Rural",6,3,263,-0.01,5,5,21,101,14,117,0,0.02,0.02,0.08,0.38,0.05,0.44,0.67,0.02,0.39,11,0.52,4,0.5,4,0.5,4,0.5,NA,NA,0.47,59528,NA,NA,NA,NA,NA,NA,0.95,21,0.84
"Ellington School District",480011,"K-12","Traditional","Suburban",8,4,2526,-0.06,49,278,128,233,49,1789,0,0.02,0.11,0.05,0.09,0.02,0.71,0.24,0.02,0.18,799,0.69,793,0.68,134,0.76,87,0.49,183,0.93,0.11,19106,0,0.92,0.05,0.02,NA,NA,1,199,0.92
"Elm City Montessori School District",2910013,"K-8","Charter","Urban",1,0,312,0.36,0,7,82,88,30,105,0,0,0.02,0.26,0.28,0.1,0.34,0.02,0.03,0.17,53,0.42,42,0.33,NA,NA,NA,NA,NA,NA,0.14,17804,0,NA,NA,NA,NA,NA,1,17,0.94
"Enfield School District",490011,"K-12","Traditional","Suburban",19,5,4694,-0.07,4,100,317,1126,298,2844,4,0,0.02,0.07,0.24,0.06,0.61,0.51,0.04,0.21,907,0.46,760,0.39,179,0.57,93,0.3,369,0.9,0.18,18781,0,0.9,0.05,0.03,0.01,0.01,1,327,0.76
"Essex School District",500011,"K-6","Traditional","Suburban",1,0,308,-0.07,0,2,2,37,11,255,2,0,0.01,0.01,0.12,0.04,0.83,0.21,0.03,0.29,100,0.67,99,0.66,NA,NA,NA,NA,NA,NA,0.07,27679,0,0.97,0,NA,NA,0.02,1,34,0.97
"Fairfield School District",510011,"K-12","Traditional","Suburban",21,4,9139,-0.06,6,543,313,1319,536,6417,6,0,0.06,0.03,0.14,0.06,0.7,0.18,0.04,0.2,2999,0.73,2986,0.72,586,0.83,374,0.53,775,0.95,0.09,24113,0,0.89,0.02,0.06,0.01,0.02,1,761,0.93
"Farmington School District",520011,"K-12","Traditional","Suburban",9,2,4195,0.01,5,1037,195,530,274,2149,5,0,0.25,0.05,0.13,0.07,0.51,0.2,0.06,0.13,1504,0.76,1436,0.72,256,0.8,198,0.62,292,0.96,0.08,19986,0,0.75,0.04,0.08,0.14,0,0.99,289,0.86
"Franklin School District",530011,"K-8","Traditional","Rural",1,0,188,0.17,2,0,2,15,17,152,0,0.01,0,0.01,0.08,0.09,0.81,0.27,0,0.12,58,0.57,55,0.54,0,NA,0,NA,NA,NA,0.05,19849,0,1,NA,NA,NA,NA,1,14,0.88
"Glastonbury School District",540011,"K-12","Traditional","Suburban",11,3,5696,-0.02,7,842,187,738,374,3548,0,0,0.15,0.03,0.13,0.07,0.62,0.15,0.04,0.14,1881,0.73,1898,0.74,343,0.81,243,0.57,426,0.97,0.08,21545,0,0.8,0.07,0.04,0.09,0.01,1,420,0.93
"Goodwin University Educational Services (GUES)",2310018,"K-12","Traditional","Urban",2,1,1223,Inf,4,31,383,596,68,137,4,0,0.03,0.31,0.49,0.06,0.11,0.57,0.13,0.17,101,0.24,65,0.15,47,0.45,12,0.11,86,0.82,0.29,20132,0.5,NA,NA,NA,NA,NA,1,66,0.65
"Granby School District",560011,"K-12","Traditional","Suburban",5,2,1709,-0.05,3,48,131,122,52,1350,3,0,0.03,0.08,0.07,0.03,0.79,0.17,0.01,0.17,532,0.68,443,0.57,106,0.8,70,0.53,136,0.94,0.12,20961,0,0.93,0.02,0.05,NA,NA,1,120,0.82
"Greenwich School District",570011,"K-12","Traditional","Suburban",17,3,8465,-0.06,10,724,144,2042,541,4995,10,0,0.09,0.02,0.24,0.06,0.59,0.2,0.05,0.16,2882,0.79,2805,0.78,559,0.86,414,0.64,627,0.96,0.1,27791,0,0.76,0.11,0.07,0.05,0,0.96,738,0.94
"Griswold School District",580011,"K-12","Traditional","Rural",4,2,1823,0.03,10,42,61,273,129,1299,10,0.01,0.03,0.03,0.15,0.07,0.71,0.54,0.02,0.21,346,0.48,261,0.36,83,0.6,25,0.18,102,0.83,0.23,19279,0.33,1,NA,NA,NA,NA,1,123,0.87
"Groton School District",590011,"K-12","Traditional","Rural",10,4,4009,-0.06,27,238,295,1063,535,1840,11,0.01,0.06,0.07,0.27,0.13,0.46,0.68,0.04,0.21,870,0.48,760,0.42,131,0.59,71,0.32,235,0.88,0.2,20055,0,0.88,0.07,0.03,0.02,NA,1,327,0.92
"Guilford School District",600011,"K-12","Traditional","Suburban",8,2,3080,-0.05,0,129,18,305,176,2434,18,0,0.05,0.01,0.1,0.06,0.79,0.14,0.02,0.16,1024,0.75,969,0.71,181,0.83,123,0.57,261,0.96,0.1,22568,0,0.94,0.01,0.02,0.02,0.02,1,252,0.94
"Hamden School District",620011,"K-12","Traditional","Suburban",22,3,5464,-0.01,6,364,1782,1630,373,1304,6,0,0.07,0.33,0.3,0.07,0.24,0.46,0.09,0.2,962,0.4,807,0.34,186,0.48,71,0.18,402,0.84,0.21,23244,0,0.84,0.07,0.01,0.01,0.07,1,388,0.9
"Hampton School District",630011,"K-6","Traditional","Rural",1,0,74,-0.18,0,3,3,3,3,62,0,0,0.04,0.04,0.04,0.04,0.84,0.49,0,0.3,15,0.52,15,0.52,NA,NA,NA,NA,NA,NA,0.16,28863,0,0.79,0.15,0.06,NA,NA,1,7,0.78
"Hartford School District",640011,"K-12","Traditional","Urban",59,15,16434,-0.13,61,765,4686,9431,498,973,20,0,0.05,0.29,0.57,0.03,0.06,0.77,0.26,0.21,1352,0.2,1262,0.19,279,0.32,136,0.16,1001,0.79,0.36,23095,0.33,0.6,0.36,0.03,0,0.02,0.98,1035,0.82
"Hartland School District",650011,"K-8","Traditional","Rural",1,0,123,-0.22,0,0,0,8,8,108,0,0,0,0,0.06,0.06,0.88,0.05,0,0.19,46,0.57,45,0.56,NA,NA,NA,NA,NA,NA,0.06,31190,0,0.98,0.04,NA,NA,NA,1,17,0.94
"Hebron School District",670011,"K-6","Traditional","Rural",2,0,681,0.03,5,10,5,35,28,598,0,0.01,0.01,0.01,0.05,0.04,0.88,0.17,0,0.15,248,0.69,231,0.64,NA,NA,NA,NA,NA,NA,0.07,19816,0,0.98,0.03,NA,NA,NA,1,55,0.87
"Highville Charter School District",2860013,"K-12","Charter","Urban",1,1,499,0.08,2,0,411,72,11,2,2,0,0,0.82,0.14,0.02,0,0.71,0.01,0.1,74,0.32,41,0.18,6,0.5,6,0.5,14,0.82,0.24,13203,0,NA,NA,NA,NA,NA,0.57,23,0.88
"Integrated Day Charter School District",2640013,"K-8","Charter","Urban",1,0,364,0.03,20,48,42,90,20,145,0,0.05,0.13,0.12,0.25,0.05,0.4,0.53,0.07,0.11,117,0.51,81,0.35,NA,NA,NA,NA,NA,NA,0.13,14835,0,NA,NA,NA,NA,NA,1,22,0.85
